array,row,col,filename,defect_type,layer_layer_missing,layer_layer_collapsed,layer_layer_stitching,center_mean,center_std,center_edge_contrast,mean_intensity,dark_ratio,contour_area,stitching_score,max_intensity_jump,rotation_asymmetry,neighbor_deviation,anisotropy,curvature_irregularity,radial_deviation,lof_score,is_lof_outlier
Array_1Crop,1,1,"Array_1Crop_1,1.bmp",Good,2,2.0,1.0,65.12485136741974,7.026185996883892,-11.928936511368136,74.17178971559896,0.6894570525711002,0.36555587474863543,30.01008766803041,2.1525423728813564,7.767332658946756,1.0316819165790863,0.11542979790279981,70.7708594193985,12.523910647707375,1.2902515590520263,0.0
Array_1Crop,1,10,"Array_1Crop_1,10.bmp",Good,0,0.0,1.0,70.06788793103448,5.9330607779068885,-4.561676675707091,73.50847457627118,0.7020656779661016,0.5513771186440678,35.515604605006814,2.5084745762711833,15.151920600545376,2.4283889120057585,0.07417611882467536,9.700309443470598,5.795711747404624,1.0266433282195746,0.0
Array_1Crop,1,11,"Array_1Crop_1,11.bmp",Good,0,2.0,1.0,69.94073275862068,6.266851446242499,-4.8745762301433615,73.61731991525424,0.6882944915254238,0.3471927966101695,34.226488530099346,1.6949152542372872,15.728364245188393,2.0839303133141733,0.07069496384232761,10.026480451772212,6.888168699261771,1.120156646814814,0.0
Array_1Crop,1,12,"Array_1Crop_1,12.bmp",Good,2,0.0,1.0,67.95366379310344,5.760018216332494,-8.290367105772958,74.20656779661017,0.7052436440677966,0.4728548728813559,31.06608343074228,1.779661016949163,11.64110790131948,0.6736957345344906,0.02297026676729739,2.5292933217704414,10.074620967580017,1.072356847150111,0.0
Array_1Crop,1,13,"Array_1Crop_1,13.bmp",Missing,1,,,91.29525862068965,0.7435782096087769,3.0828288454087556,,,,,,,,,,,,
Array_1Crop,1,14,"Array_1Crop_1,14.bmp",Good,0,0.0,1.0,69.44181034482759,5.173171190955067,-9.380521115846577,76.51694915254237,0.5860699152542372,0.4970868644067797,31.687475952172235,2.0508474576271283,13.272524590561453,3.3428851488852773,0.07699329860669836,26.10274886396415,16.220758765180523,1.1113113843391471,0.0
Array_1Crop,1,15,"Array_1Crop_1,15.bmp",Good,0,0.0,1.0,69.19719827586206,5.270783238138835,-7.988194982564906,75.22219279661017,0.6652542372881356,0.557865466101695,32.665948275862064,1.671875,12.079503128312377,1.68571312482692,0.2159096717406017,28.959315003873265,12.061682366040923,1.0636685657102176,0.0
Array_1Crop,1,16,"Array_1Crop_1,16.bmp",Good,0,0.0,1.0,69.82758620689656,5.152879780828563,-7.556543006586594,75.5270127118644,0.6573093220338984,0.5508474576271186,34.50123922413793,2.0625,13.126099377522168,2.4167759684949846,0.2012546690088675,13.875118735258756,12.436716101275817,1.2340771205978929,0.0
Array_1Crop,1,17,"Array_1Crop_1,17.bmp",Good,0,0.0,1.0,69.375,5.210597209136594,-8.457865168539328,75.7542372881356,0.637447033898305,0.5289989406779662,36.14727011494253,2.390625,13.608593507407862,2.696723405172685,0.2166825479884761,17.470627959969416,13.143762278006147,1.093415265312886,0.0
Array_1Crop,1,18,"Array_1Crop_1,18.bmp",Good,0,0.0,1.0,70.56788793103448,5.410291424478479,-7.682112068965523,76.36202330508475,0.618114406779661,0.5311175847457628,36.43322557471265,2.34375,14.386145845607736,3.0722665439767347,0.20749831449569284,19.684889715992153,13.830908166729342,1.2159674261550073,0.0
Array_1Crop,1,19,"Array_1Crop_1,19.bmp",Good,0,0.0,1.0,71.19719827586206,5.840269013525135,-7.385666892677264,76.76774364406779,0.6046080508474576,0.5166843220338984,36.27232399425286,2.0625,15.03268980758085,3.1858943277561393,0.16582454384964615,37.27647216491998,14.430771122021381,1.3511452505774557,0.0
Array_1Crop,1,2,"Array_1Crop_1,2.bmp",Good,2,2.0,1.0,64.94935344827586,7.916088730482207,-12.395098798915157,74.29819915254237,0.6588983050847458,0.2643008474576271,31.862426030099357,2.694915254237287,11.30838291687406,1.7599435852581506,0.13096502841849159,19.568214341406136,13.481983415656861,1.0477275671751025,0.0
Array_1Crop,1,20,"Array_1Crop_1,20.bmp",Good,0,0.0,1.0,71.06357758620689,6.307259169826438,-8.014020728399856,77.10805084745763,0.5752118644067796,0.4312764830508475,37.74917385057472,1.984375,15.595108585110617,3.0211975633916066,0.13849325614886893,43.84602931773748,15.570882632121004,1.1271853481716816,0.0
Array_1Crop,1,21,"Array_1Crop_1,21.bmp",Good,0,0.0,1.0,72.0896551724138,6.704862440114939,-7.747798011106795,77.93333333333334,0.5231638418079096,0.40790960451977404,35.255124358724586,2.0338983050847474,15.61058822535283,4.0129175213087835,0.05420072342433421,3.2674322737788346,18.344259209856137,1.1074091254074463,0.0
Array_1Crop,1,3,"Array_1Crop_1,3.bmp",Good,2,2.0,1.0,65.7834051724138,7.232847161386258,-11.552620108485087,74.49682203389831,0.6520127118644068,0.2620497881355932,30.985681497175136,2.2033898305084705,11.012007940994991,3.4299823502964535,0.04864953112701536,10.615934699074169,11.52080544108467,1.1208490207894344,0.0
Array_1Crop,1,4,"Array_1Crop_1,4.bmp",Collapsed,2,1.0,,61.36422413793103,17.278365366633086,-11.20354271600155,69.81435381355932,0.590042372881356,0.2984639830508475,,,,,,,,,
Array_1Crop,1,5,"Array_1Crop_1,5.bmp",Collapsed,2,1.0,,38.46875,7.259142106830199,-34.33426966292134,64.36493644067797,0.7447033898305084,0.3282574152542373,,,,,,,,,
