array,row,col,defect_type,method
Array_4,10,16,Good,onepass
Array_4,10,17,Good,onepass
Array_4,10,18,Good,onepass
Array_4,10,19,Good,onepass
Array_4,10,20,Good,onepass
Array_4,10,21,Good,onepass
Array_4,11,1,Good,onepass
Array_4,11,2,Good,onepass
Array_4,11,3,Good,onepass
Array_4,11,4,Good,onepass
Array_4,11,5,Good,onepass
Array_4,11,6,Good,onepass
Array_4,11,7,Good,onepass
Array_4,11,8,Good,onepass
Array_4,11,9,Good,onepass
Array_4,11,10,Good,onepass
Array_4,11,11,Good,onepass
Array_4,11,13,Good,onepass
Array_4,11,14,Good,onepass
Array_4,11,15,Good,onepass
Array_4,11,16,Good,onepass
Array_4,11,17,Good,onepass
Array_4,11,19,Good,onepass
Array_4,11,20,Good,onepass
Array_4,11,21,Good,onepass
Array_4,12,1,Good,onepass
Array_4,12,2,Good,onepass
Array_4,12,3,Good,onepass
Array_4,12,4,Good,onepass
Array_4,12,5,Good,onepass
Array_4,12,6,Good,onepass
Array_4,12,7,Good,onepass
Array_4,12,8,Good,onepass
Array_4,12,9,Good,onepass
Array_4,12,10,Good,onepass
Array_4,12,11,Good,onepass
Array_4,12,13,Good,onepass
Array_4,12,15,Good,onepass
Array_4,12,16,Good,onepass
Array_4,12,17,Good,onepass
Array_4,12,18,Good,onepass
Array_4,12,19,Good,onepass
Array_4,12,20,Good,onepass
Array_4,12,21,Good,onepass
Array_4,13,1,Good,onepass
Array_4,13,4,Good,onepass
Array_4,13,5,Good,onepass
Array_4,13,6,Good,onepass
Array_4,13,9,Good,onepass
Array_4,13,10,Good,onepass
Array_4,13,11,Good,onepass
Array_4,13,12,Good,onepass
Array_4,13,13,Good,onepass
Array_4,13,14,Good,onepass
Array_4,13,15,Good,onepass
Array_4,13,16,Good,onepass
Array_4,13,17,Good,onepass
Array_4,13,18,Good,onepass
Array_4,13,19,Good,onepass
Array_4,13,20,Good,onepass
Array_4,14,1,Good,onepass
Array_4,14,3,Good,onepass
Array_4,14,4,Good,onepass
Array_4,14,5,Good,onepass
Array_4,14,6,Good,onepass
Array_4,14,9,Good,onepass
Array_4,14,10,Good,onepass
Array_4,14,11,Good,onepass
Array_4,14,12,Good,onepass
Array_4,14,13,Good,onepass
Array_4,14,14,Good,onepass
Array_4,14,15,Good,onepass
Array_4,14,16,Good,onepass
Array_4,14,17,Good,onepass
Array_4,14,18,Good,onepass
Array_4,14,19,Good,onepass
Array_4,14,20,Good,onepass
Array_4,14,21,Good,onepass
Array_4,15,2,Good,onepass
Array_4,15,3,Good,onepass
Array_4,15,4,Good,onepass
Array_4,15,5,Good,onepass
Array_4,15,6,Good,onepass
Array_4,15,8,Good,onepass
Array_4,15,9,Good,onepass
Array_4,15,10,Good,onepass
Array_4,15,11,Good,onepass
Array_4,15,12,Good,onepass
Array_4,15,13,Good,onepass
Array_4,15,14,Good,onepass
Array_4,15,15,Good,onepass
Array_4,15,16,Good,onepass
Array_4,15,17,Good,onepass
Array_4,15,18,Good,onepass
Array_4,15,19,Good,onepass
Array_4,15,20,Good,onepass
Array_4,15,21,Good,onepass
Array_4,16,1,Good,onepass
Array_4,16,4,Good,onepass
Array_4,16,5,Good,onepass
Array_4,16,6,Good,onepass
Array_4,16,7,Good,onepass
Array_4,16,8,Good,onepass
Array_4,16,9,Good,onepass
Array_4,16,10,Good,onepass
Array_4,16,11,Good,onepass
Array_4,16,13,Good,onepass
Array_4,16,14,Good,onepass
Array_4,16,15,Good,onepass
Array_4,16,17,Good,onepass
Array_4,16,18,Good,onepass
Array_4,16,19,Good,onepass
Array_4,16,20,Good,onepass
Array_4,16,21,Good,onepass
Array_4,17,1,Good,onepass
Array_4,17,3,Good,onepass
Array_4,17,4,Good,onepass
Array_4,17,5,Good,onepass
Array_4,17,6,Good,onepass
Array_4,17,7,Good,onepass
Array_4,17,8,Good,onepass
Array_4,17,9,Good,onepass
Array_4,17,10,Good,onepass
Array_4,17,11,Good,onepass
Array_4,17,12,Good,onepass
Array_4,17,13,Good,onepass
Array_4,17,14,Good,onepass
Array_4,17,15,Good,onepass
Array_4,17,16,Good,onepass
Array_4,17,17,Good,onepass
Array_4,17,20,Good,onepass
Array_4,17,21,Good,onepass
Array_4,18,1,Good,onepass
Array_4,18,2,Good,onepass
Array_4,18,3,Good,onepass
Array_4,18,4,Good,onepass
Array_4,18,5,Good,onepass
Array_4,18,6,Good,onepass
Array_4,18,7,Good,onepass
Array_4,18,8,Good,onepass
Array_4,18,9,Good,onepass
Array_4,18,10,Good,onepass
Array_4,18,11,Good,onepass
Array_4,18,12,Good,onepass
Array_4,18,13,Good,onepass
Array_4,18,16,Good,onepass
